groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
128,0,recipient,0,create,1.8515,null,null
128,0,recipient,1,create,2.3864,null,null
128,0,recipient,2,create,2.3471,null,null
128,0,recipient,3,create,2.4269,null,null
128,0,recipient,4,create,2.4968,null,null
128,0,recipient,5,create,2.5878,null,null
128,0,recipient,6,create,1.8141,null,null
128,0,recipient,7,create,1.8281,null,null
128,0,recipient,8,create,2.6901,null,null
128,0,recipient,9,create,2.0382,null,null
128,0,recipient,10,create,46.3687,null,null
128,0,recipient,11,create,2.4318,null,null
128,0,recipient,12,create,1.8638,null,null
128,0,recipient,13,create,1.8757,null,null
128,0,recipient,14,create,2.3803,null,null
128,0,recipient,15,create,1.8666,null,null
128,0,recipient,16,create,2.7574,null,null
128,0,recipient,17,create,2.3834,null,null
128,0,recipient,18,create,1.8367,null,null
128,0,recipient,19,create,1.8521,null,null
128,0,recipient,20,create,1.8489,null,null
128,0,recipient,21,create,2.3482,null,null
128,0,recipient,22,create,2.4918,null,null
128,0,recipient,23,create,2.4065,null,null
128,0,recipient,24,create,2.3241,null,null
128,0,recipient,25,create,2.4388,null,null
128,0,recipient,26,create,1.8559,null,null
128,0,recipient,27,create,1.8532,null,null
128,0,recipient,28,create,2.4151,null,null
128,0,recipient,29,create,2.3678,null,null
128,0,recipient,30,create,2.4927,null,null
128,0,recipient,31,create,1.8494,null,null
128,0,recipient,32,create,3.0208,null,null
128,0,recipient,33,create,2.9949,null,null
128,0,recipient,34,create,3.8409,null,null
128,0,recipient,35,create,3.0742,null,null
128,0,recipient,36,create,4.1497,null,null
128,0,recipient,37,create,3.7822,null,null
128,0,recipient,38,create,3.9379,null,null
128,0,recipient,39,create,3.0687,null,null
128,0,recipient,40,create,10.5586,null,null
128,0,recipient,41,create,5.3839,null,null
128,0,recipient,42,create,6.1933,null,null
128,0,sender,43,create,599.9671,127,null
128,0,recipient,44,create,4.6118,null,null
128,0,recipient,45,create,3.6197,null,null
128,0,recipient,46,create,3.5424,null,null
128,0,recipient,47,create,3.6192,null,null
128,0,recipient,48,create,3.1923,null,null
128,0,recipient,49,create,3.6189,null,null
128,0,recipient,50,create,3.2894,null,null
128,0,recipient,51,create,3.1359,null,null
128,0,recipient,52,create,2.4536,null,null
128,0,recipient,53,create,2.4031,null,null
128,0,recipient,54,create,3.2252,null,null
128,0,recipient,55,create,3.1431,null,null
128,0,recipient,56,create,3.1711,null,null
128,0,recipient,57,create,3.1976,null,null
128,0,recipient,58,create,3.2655,null,null
128,0,recipient,59,create,2.7148,null,null
128,0,recipient,60,create,2.5816,null,null
128,0,recipient,61,create,3.2296,null,null
128,0,recipient,62,create,3.0603,null,null
128,0,recipient,63,create,3.3992,null,null
128,0,recipient,64,create,1.8754,null,null
128,0,recipient,65,create,1.7854,null,null
128,0,recipient,66,create,1.2939,null,null
128,0,recipient,67,create,1.3109,null,null
128,0,recipient,68,create,1.8534,null,null
128,0,recipient,69,create,1.6578,null,null
128,0,recipient,70,create,1.661,null,null
128,0,recipient,71,create,1.6744,null,null
128,0,recipient,72,create,1.2989,null,null
128,0,recipient,73,create,9.3491,null,null
128,0,recipient,74,create,2.1119,null,null
128,0,recipient,75,create,1.6332,null,null
128,0,recipient,76,create,1.7162,null,null
128,0,recipient,77,create,1.7984,null,null
128,0,recipient,78,create,1.6917,null,null
128,0,recipient,79,create,2.2087,null,null
128,0,recipient,80,create,1.2885,null,null
128,0,recipient,81,create,1.7589,null,null
128,0,recipient,82,create,1.6806,null,null
128,0,recipient,83,create,1.7522,null,null
128,0,recipient,84,create,1.6547,null,null
128,0,recipient,85,create,1.6286,null,null
128,0,recipient,86,create,1.2783,null,null
128,0,recipient,87,create,1.3118,null,null
128,0,recipient,88,create,1.8792,null,null
128,0,recipient,89,create,1.6942,null,null
128,0,recipient,90,create,1.7205,null,null
128,0,recipient,91,create,1.635,null,null
128,0,recipient,92,create,1.5649,null,null
128,0,recipient,93,create,1.3073,null,null
128,0,recipient,94,create,1.7291,null,null
128,0,recipient,95,create,527.0727,null,null
128,0,recipient,96,create,1.6333,null,null
128,0,recipient,97,create,1.7381,null,null
128,0,recipient,98,create,1.7371,null,null
128,0,recipient,99,create,1.3092,null,null
128,0,recipient,100,create,1.6972,null,null
128,0,recipient,101,create,1.6597,null,null
128,0,recipient,102,create,1.6724,null,null
128,0,recipient,103,create,1.7272,null,null
128,0,recipient,104,create,1.7831,null,null
128,0,recipient,105,create,1.7163,null,null
128,0,recipient,106,create,1.2839,null,null
128,0,recipient,107,create,1.2874,null,null
128,0,recipient,108,create,1.6742,null,null
128,0,recipient,109,create,1.6995,null,null
128,0,recipient,110,create,2.7451,null,null
128,0,recipient,111,create,6.9429,null,null
128,0,recipient,112,create,1.3024,null,null
128,0,recipient,113,create,1.3338,null,null
128,0,recipient,114,create,1.7957,null,null
128,0,recipient,115,create,1.6191,null,null
128,0,recipient,116,create,1.7105,null,null
128,0,recipient,117,create,1.8281,null,null
128,0,recipient,118,create,1.7563,null,null
128,0,recipient,119,create,1.3189,null,null
128,0,recipient,120,create,1.3053,null,null
128,0,recipient,121,create,1.6235,null,null
128,0,recipient,122,create,1.6934,null,null
128,0,recipient,123,create,1.7864,null,null
