groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
8,0,recipient,0,update,0.5578,null,null
8,0,recipient,1,update,0.4097,null,null
8,0,recipient,2,update,0.4073,null,null
8,0,recipient,3,update,0.6021,null,null
8,0,sender,4,update,4.5648,4,null
8,0,recipient,5,update,0.8062,null,null
8,0,recipient,6,update,0.6203,null,null
8,0,recipient,7,update,0.6247,null,null
8,1,recipient,0,update,0.5886,null,null
8,1,recipient,1,update,0.5458,null,null
8,1,recipient,2,update,0.408,null,null
8,1,recipient,3,update,0.4046,null,null
8,1,recipient,4,update,1.0278,null,null
8,1,sender,5,update,2.531,4,null
8,1,recipient,6,update,0.6035,null,null
8,1,recipient,7,update,0.6155,null,null
8,2,sender,0,update,4.833,4,null
8,2,recipient,1,update,1.0639,null,null
8,2,recipient,2,update,0.5955,null,null
8,2,recipient,3,update,0.6295,null,null
8,2,recipient,4,update,0.857,null,null
8,2,recipient,5,update,0.5797,null,null
8,2,recipient,6,update,0.4385,null,null
8,2,recipient,7,update,0.6357,null,null
8,3,recipient,0,update,0.4063,null,null
8,3,recipient,1,update,0.5097,null,null
8,3,recipient,2,update,0.408,null,null
8,3,recipient,3,update,0.5911,null,null
8,3,recipient,4,update,0.5945,null,null
8,3,recipient,5,update,0.7076,null,null
8,3,recipient,6,update,0.8083,null,null
8,3,sender,7,update,2.2554,3,null
8,4,recipient,0,update,0.8335,null,null
8,4,recipient,1,update,1.6368,null,null
8,4,recipient,2,update,0.4026,null,null
8,4,recipient,3,update,0.5365,null,null
8,4,sender,4,update,2.4517,3,null
8,4,recipient,5,update,1.0625,null,null
8,4,recipient,6,update,0.9943,null,null
8,4,recipient,7,update,0.7971,null,null
8,5,recipient,0,update,0.6659,null,null
8,5,recipient,1,update,0.4056,null,null
8,5,recipient,2,update,0.5228,null,null
8,5,recipient,3,update,0.4095,null,null
8,5,recipient,4,update,0.9154,null,null
8,5,recipient,5,update,0.5972,null,null
8,5,recipient,6,update,1.214,null,null
8,5,sender,7,update,2.1816,3,null
8,6,sender,0,update,4.4419,4,null
8,6,recipient,1,update,0.8618,null,null
8,6,recipient,2,update,0.7862,null,null
8,6,recipient,3,update,0.5874,null,null
8,6,recipient,4,update,0.4314,null,null
8,6,recipient,5,update,0.4317,null,null
8,6,recipient,6,update,0.3936,null,null
8,6,recipient,7,update,0.6591,null,null
8,7,recipient,0,update,0.6035,null,null
8,7,recipient,1,update,0.5614,null,null
8,7,recipient,2,update,0.4044,null,null
8,7,recipient,3,update,0.661,null,null
8,7,recipient,4,update,0.5914,null,null
8,7,recipient,5,update,0.7992,null,null
8,7,recipient,6,update,1.195,null,null
8,7,sender,7,update,1.8965,3,null
8,8,recipient,0,update,0.536,null,null
8,8,recipient,1,update,1.0373,null,null
8,8,recipient,2,update,0.6654,null,null
8,8,recipient,3,update,0.6066,null,null
8,8,recipient,4,update,0.8004,null,null
8,8,recipient,5,update,0.6118,null,null
8,8,recipient,6,update,1.0661,null,null
8,8,sender,7,update,3.9012,3,null
8,9,recipient,0,update,1.1341,null,null
8,9,recipient,1,update,0.5975,null,null
8,9,sender,2,update,4.4338,3,null
8,9,recipient,3,update,1.058,null,null
8,9,recipient,4,update,0.5369,null,null
8,9,recipient,5,update,0.4042,null,null
8,9,recipient,6,update,0.4032,null,null
8,9,recipient,7,update,0.4283,null,null
8,10,recipient,0,update,0.405,null,null
8,10,recipient,1,update,0.4275,null,null
8,10,recipient,2,update,0.5915,null,null
8,10,recipient,3,update,0.4076,null,null
8,10,sender,4,update,1.901,3,null
8,10,recipient,5,update,1.201,null,null
8,10,recipient,6,update,0.9877,null,null
8,10,recipient,7,update,0.905,null,null
8,11,recipient,0,update,1.0074,null,null
8,11,recipient,1,update,0.8218,null,null
8,11,recipient,2,update,1.0817,null,null
8,11,sender,3,update,3.5499,3,null
8,11,recipient,4,update,0.5422,null,null
8,11,recipient,5,update,0.6687,null,null
8,11,recipient,6,update,0.6217,null,null
8,11,recipient,7,update,0.6763,null,null
8,12,recipient,0,update,0.3923,null,null
8,12,recipient,1,update,0.3926,null,null
8,12,recipient,2,update,0.4061,null,null
8,12,recipient,3,update,0.5917,null,null
8,12,recipient,4,update,1.3796,null,null
8,12,sender,5,update,3.8624,3,null
8,12,recipient,6,update,0.8111,null,null
8,12,recipient,7,update,0.8067,null,null
8,13,recipient,0,update,0.5842,null,null
8,13,recipient,1,update,0.7783,null,null
8,13,sender,2,update,4.468,3,null
8,13,recipient,3,update,1.1935,null,null
8,13,recipient,4,update,0.3851,null,null
8,13,recipient,5,update,0.4068,null,null
8,13,recipient,6,update,0.6109,null,null
8,13,recipient,7,update,0.6341,null,null
8,14,recipient,0,update,0.5881,null,null
8,14,recipient,1,update,0.5905,null,null
8,14,sender,2,update,2.5613,3,null
8,14,recipient,3,update,0.7746,null,null
8,14,recipient,4,update,0.648,null,null
8,14,recipient,5,update,0.4016,null,null
8,14,recipient,6,update,0.5933,null,null
8,14,recipient,7,update,0.9087,null,null
8,15,recipient,0,update,0.7638,null,null
8,15,sender,1,update,2.193,3,null
8,15,recipient,2,update,0.5801,null,null
8,15,recipient,3,update,0.8246,null,null
8,15,recipient,4,update,0.6004,null,null
8,15,recipient,5,update,0.3904,null,null
8,15,recipient,6,update,0.3892,null,null
8,15,recipient,7,update,0.5833,null,null
8,16,recipient,0,update,0.3902,null,null
8,16,recipient,1,update,0.3917,null,null
8,16,recipient,2,update,0.8986,null,null
8,16,recipient,3,update,0.3818,null,null
8,16,recipient,4,update,0.5856,null,null
8,16,recipient,5,update,1.2145,null,null
8,16,recipient,6,update,1.0833,null,null
8,16,sender,7,update,2.1603,3,null
8,17,recipient,0,update,0.3976,null,null
8,17,recipient,1,update,0.5213,null,null
8,17,recipient,2,update,0.3928,null,null
8,17,recipient,3,update,0.938,null,null
8,17,recipient,4,update,1.8331,null,null
8,17,sender,5,update,2.1751,3,null
8,17,recipient,6,update,0.5869,null,null
8,17,recipient,7,update,0.7879,null,null
8,18,recipient,0,update,0.6057,null,null
8,18,recipient,1,update,0.6628,null,null
8,18,sender,2,update,3.8807,3,null
8,18,recipient,3,update,1.1148,null,null
8,18,recipient,4,update,0.3887,null,null
8,18,recipient,5,update,0.3961,null,null
