groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
32,0,recipient,0,create,3.2718,null,null
32,0,sender,1,create,21.2286,30,null
32,0,recipient,2,create,2.5376,null,null
32,0,recipient,3,create,2.1736,null,null
32,0,recipient,4,create,2.5368,null,null
32,0,recipient,5,create,2.4952,null,null
32,0,recipient,6,create,1.6942,null,null
32,0,recipient,7,create,1.6456,null,null
32,0,recipient,8,create,1.9243,null,null
32,0,recipient,9,create,1.8701,null,null
32,0,recipient,10,create,1.8527,null,null
32,0,recipient,11,create,3.2258,null,null
32,0,recipient,12,create,1.6665,null,null
32,0,recipient,13,create,1.6421,null,null
32,0,recipient,14,create,1.3253,null,null
32,0,recipient,15,create,1.2976,null,null
32,0,recipient,16,create,1.8561,null,null
32,0,recipient,17,create,1.2793,null,null
32,0,recipient,18,create,2.0177,null,null
32,0,recipient,19,create,1.1166,null,null
32,0,recipient,20,create,1.1819,null,null
32,0,recipient,21,create,1.0416,null,null
32,0,recipient,22,create,1.2433,null,null
32,0,recipient,23,create,1.3243,null,null
32,0,recipient,24,create,1.7167,null,null
32,0,recipient,25,create,1.2192,null,null
32,0,recipient,26,create,1.1133,null,null
32,0,recipient,27,create,1.1153,null,null
32,0,recipient,28,create,1.0671,null,null
32,0,recipient,29,create,1.2909,null,null
32,0,recipient,30,create,4.3512,null,null
32,0,recipient,31,create,0.0,null,null
32,1,recipient,0,create,2.2546,null,null
32,1,recipient,1,create,2.0971,null,null
32,1,recipient,2,create,3.1178,null,null
32,1,recipient,3,create,2.6334,null,null
32,1,sender,4,create,21.2362,30,null
32,1,recipient,5,create,3.6819,null,null
32,1,recipient,6,create,1.9184,null,null
32,1,recipient,7,create,1.5685,null,null
32,1,recipient,8,create,1.5833,null,null
32,1,recipient,9,create,2.5113,null,null
32,1,recipient,10,create,1.9257,null,null
32,1,recipient,11,create,1.9056,null,null
32,1,recipient,12,create,1.6487,null,null
32,1,recipient,13,create,1.8865,null,null
32,1,recipient,14,create,1.1351,null,null
32,1,recipient,15,create,1.0631,null,null
32,1,recipient,16,create,1.2828,null,null
32,1,recipient,17,create,1.2126,null,null
32,1,recipient,18,create,1.2606,null,null
32,1,recipient,19,create,1.3338,null,null
32,1,recipient,20,create,1.0866,null,null
32,1,recipient,21,create,45.6055,null,null
32,1,recipient,22,create,1.2535,null,null
32,1,recipient,23,create,1.283,null,null
32,1,recipient,24,create,1.2344,null,null
32,1,recipient,25,create,1.365,null,null
32,1,recipient,26,create,1.2654,null,null
32,1,recipient,27,create,1.0858,null,null
32,1,recipient,28,create,1.0728,null,null
32,1,recipient,29,create,1.5189,null,null
32,1,recipient,30,create,2.5068,null,null
32,1,recipient,31,create,0.0,null,null
32,2,recipient,0,create,2.4728,null,null
32,2,recipient,1,create,2.4598,null,null
32,2,recipient,2,create,2.6436,null,null
32,2,recipient,3,create,2.6127,null,null
32,2,sender,4,create,20.8454,30,null
32,2,recipient,5,create,3.1418,null,null
32,2,recipient,6,create,1.8104,null,null
32,2,recipient,7,create,1.973,null,null
32,2,recipient,8,create,1.5992,null,null
32,2,recipient,9,create,1.5973,null,null
32,2,recipient,10,create,1.849,null,null
32,2,recipient,11,create,1.8906,null,null
32,2,recipient,12,create,3.7534,null,null
