groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
16,0,recipient,0,update,1.2321,null,null
16,0,recipient,1,update,1.285,null,null
16,0,recipient,2,update,1.2067,null,null
16,0,recipient,3,update,1.2749,null,null
16,0,recipient,4,update,1.7199,null,null
16,0,recipient,5,update,3.2749,null,null
16,0,recipient,6,update,2.205,null,null
16,0,sender,7,update,5.0058,12,null
16,0,recipient,8,update,0.829,null,null
16,0,recipient,9,update,0.9249,null,null
16,0,recipient,10,update,0.5919,null,null
16,0,recipient,11,update,0.9033,null,null
16,0,recipient,12,update,1.0011,null,null
16,0,recipient,13,update,0.5897,null,null
16,0,recipient,14,update,0.8008,null,null
16,0,recipient,15,update,0.8717,null,null
16,1,recipient,0,update,0.8466,null,null
16,1,recipient,1,update,0.5994,null,null
16,1,recipient,2,update,0.823,null,null
16,1,recipient,3,update,0.7146,null,null
16,1,recipient,4,update,0.5786,null,null
16,1,recipient,5,update,1.202,null,null
16,1,recipient,6,update,0.8411,null,null
16,1,recipient,7,update,0.8507,null,null
16,1,sender,8,update,5.1792,8,null
16,1,recipient,9,update,1.8371,null,null
16,1,recipient,10,update,1.7573,null,null
16,1,recipient,11,update,1.8717,null,null
16,1,recipient,12,update,0.7933,null,null
16,1,recipient,13,update,1.2535,null,null
16,1,recipient,14,update,0.7654,null,null
16,1,recipient,15,update,0.7512,null,null
16,2,recipient,0,update,3.0112,null,null
16,2,sender,1,update,2.3007,5,null
16,2,recipient,2,update,1.2999,null,null
16,2,recipient,3,update,1.4835,null,null
16,2,recipient,4,update,1.3605,null,null
16,2,recipient,5,update,1.1246,null,null
16,2,recipient,6,update,0.6619,null,null
16,2,recipient,7,update,0.673,null,null
16,2,recipient,8,update,0.4719,null,null
16,2,recipient,9,update,0.453,null,null
16,2,recipient,10,update,0.8628,null,null
16,2,recipient,11,update,0.7435,null,null
16,2,recipient,12,update,2.295,null,null
16,2,recipient,13,update,0.7611,null,null
16,2,recipient,14,update,0.685,null,null
16,2,recipient,15,update,1.7872,null,null
16,3,recipient,0,update,1.5117,null,null
16,3,recipient,1,update,0.6574,null,null
16,3,recipient,2,update,0.6233,null,null
16,3,recipient,3,update,0.6148,null,null
16,3,sender,4,update,2.9465,4,null
16,3,recipient,5,update,1.6677,null,null
16,3,recipient,6,update,1.4782,null,null
16,3,recipient,7,update,0.8678,null,null
16,3,recipient,8,update,0.4498,null,null
16,3,recipient,9,update,0.7994,null,null
16,3,recipient,10,update,0.4471,null,null
16,3,recipient,11,update,0.822,null,null
16,3,recipient,12,update,0.667,null,null
16,3,recipient,13,update,0.4378,null,null
16,3,recipient,14,update,0.6619,null,null
16,3,recipient,15,update,0.5541,null,null
16,4,recipient,0,update,1.1038,null,null
16,4,recipient,1,update,1.1523,null,null
16,4,recipient,2,update,0.6837,null,null
16,4,recipient,3,update,0.9878,null,null
16,4,sender,4,update,2.4505,4,null
16,4,recipient,5,update,1.0536,null,null
16,4,recipient,6,update,2.8099,null,null
16,4,recipient,7,update,3.6847,null,null
16,4,recipient,8,update,0.6814,null,null
16,4,recipient,9,update,0.7639,null,null
16,4,recipient,10,update,0.7662,null,null
16,4,recipient,11,update,0.437,null,null
16,4,recipient,12,update,1.1837,null,null
16,4,recipient,13,update,0.8998,null,null
16,4,recipient,14,update,0.6175,null,null
16,4,recipient,15,update,0.7342,null,null
16,5,sender,0,update,3.2428,5,null
16,5,recipient,1,update,0.9971,null,null
16,5,recipient,2,update,1.389,null,null
16,5,recipient,3,update,1.2764,null,null
16,5,recipient,4,update,0.8864,null,null
16,5,recipient,5,update,1.0835,null,null
16,5,recipient,6,update,1.3276,null,null
16,5,recipient,7,update,1.1082,null,null
16,5,recipient,8,update,0.8748,null,null
16,5,recipient,9,update,0.4258,null,null
16,5,recipient,10,update,0.6513,null,null
16,5,recipient,11,update,0.7261,null,null
16,5,recipient,12,update,0.8771,null,null
16,5,recipient,13,update,0.8241,null,null
