groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
16,0,sender,0,create,11.9126,15,null
16,0,recipient,1,create,2.5651,null,null
16,0,recipient,2,create,2.0723,null,null
16,0,recipient,3,create,2.3792,null,null
16,0,recipient,4,create,1.7564,null,null
16,0,recipient,5,create,1.8264,null,null
16,0,recipient,6,create,1.7742,null,null
16,0,recipient,7,create,1.9278,null,null
16,0,recipient,8,create,1.0782,null,null
16,0,recipient,9,create,1.0469,null,null
16,0,recipient,10,create,1.2078,null,null
16,0,recipient,11,create,1.3627,null,null
16,0,recipient,12,create,1.4527,null,null
16,0,recipient,13,create,1.0691,null,null
16,0,recipient,14,create,1.0461,null,null
16,0,recipient,15,create,1.0533,null,null
16,0,recipient,16,create,0.0,null,null
16,1,recipient,0,create,1.2675,null,null
16,1,recipient,1,create,1.2629,null,null
16,1,recipient,2,create,1.2773,null,null
16,1,recipient,3,create,1.2379,null,null
16,1,recipient,4,create,1.0818,null,null
16,1,recipient,5,create,1.0923,null,null
16,1,recipient,6,create,1.2749,null,null
16,1,recipient,7,create,1.2596,null,null
16,1,recipient,8,create,2.4859,null,null
16,1,recipient,9,create,2.4444,null,null
16,1,sender,10,create,18.3181,15,null
16,1,recipient,11,create,2.6496,null,null
16,1,recipient,12,create,1.6305,null,null
16,1,recipient,13,create,1.8579,null,null
16,1,recipient,14,create,2.4171,null,null
16,1,recipient,15,create,1.8565,null,null
16,1,recipient,16,create,0.0,null,null
16,2,recipient,0,create,1.0779,null,null
16,2,recipient,1,create,1.3227,null,null
16,2,recipient,2,create,1.2806,null,null
16,2,recipient,3,create,1.2372,null,null
16,2,recipient,4,create,1.2302,null,null
16,2,recipient,5,create,1.254,null,null
16,2,recipient,6,create,1.1629,null,null
16,2,recipient,7,create,1.0868,null,null
16,2,recipient,8,create,1.6426,null,null
16,2,recipient,9,create,1.8618,null,null
16,2,recipient,10,create,1.8673,null,null
16,2,recipient,11,create,2.1708,null,null
16,2,recipient,12,create,2.7475,null,null
16,2,recipient,13,create,2.4691,null,null
16,2,recipient,14,create,2.6342,null,null
16,2,sender,15,create,21.2797,15,null
16,2,recipient,16,create,0.0,null,null
16,3,recipient,0,create,2.0226,null,null
16,3,recipient,1,create,1.9003,null,null
16,3,recipient,2,create,1.8823,null,null
16,3,recipient,3,create,1.6415,null,null
16,3,recipient,4,create,2.1402,null,null
16,3,recipient,5,create,2.4637,null,null
16,3,sender,6,create,12.7252,15,null
16,3,recipient,7,create,3.7968,null,null
16,3,recipient,8,create,1.2706,null,null
16,3,recipient,9,create,1.6261,null,null
16,3,recipient,10,create,1.0819,null,null
16,3,recipient,11,create,1.1229,null,null
16,3,recipient,12,create,1.6844,null,null
16,3,recipient,13,create,1.2582,null,null
16,3,recipient,14,create,1.3687,null,null
16,3,recipient,15,create,1.2832,null,null
16,3,recipient,16,create,0.0,null,null
16,4,recipient,0,create,1.2462,null,null
16,4,recipient,1,create,1.1364,null,null
16,4,recipient,2,create,1.0648,null,null
16,4,recipient,3,create,1.3394,null,null
16,4,recipient,4,create,1.0915,null,null
16,4,recipient,5,create,1.147,null,null
16,4,recipient,6,create,1.1938,null,null
16,4,recipient,7,create,1.0923,null,null
16,4,recipient,8,create,1.9379,null,null
16,4,recipient,9,create,1.7581,null,null
16,4,recipient,10,create,1.9487,null,null
16,4,recipient,11,create,1.9426,null,null
16,4,recipient,12,create,2.4752,null,null
16,4,recipient,13,create,2.2607,null,null
16,4,sender,14,create,10.2621,15,null
16,4,recipient,15,create,3.0907,null,null
16,4,recipient,16,create,0.0,null,null
16,5,recipient,0,create,1.85,null,null
16,5,recipient,1,create,2.3669,null,null
16,5,recipient,2,create,5.794,null,null
16,5,recipient,3,create,2.4641,null,null
16,5,recipient,4,create,2.9711,null,null
16,5,sender,5,create,15.4025,15,null
16,5,recipient,6,create,3.2903,null,null
16,5,recipient,7,create,3.1545,null,null
16,5,recipient,8,create,1.2189,null,null
16,5,recipient,9,create,1.3017,null,null
16,5,recipient,10,create,1.2078,null,null
16,5,recipient,11,create,15.8167,null,null
16,5,recipient,12,create,1.6301,null,null
16,5,recipient,13,create,1.8676,null,null
16,5,recipient,14,create,1.6412,null,null
16,5,recipient,15,create,1.666,null,null
16,5,recipient,16,create,0.0,null,null
16,6,recipient,0,create,3.2701,null,null
16,6,recipient,1,create,3.1732,null,null
16,6,sender,2,create,15.1641,15,null
16,6,recipient,3,create,4.0286,null,null
16,6,recipient,4,create,1.9067,null,null
16,6,recipient,5,create,2.5418,null,null
16,6,recipient,6,create,1.8075,null,null
16,6,recipient,7,create,2.3797,null,null
16,6,recipient,8,create,1.6015,null,null
16,6,recipient,9,create,1.6574,null,null
16,6,recipient,10,create,1.6176,null,null
16,6,recipient,11,create,1.7102,null,null
16,6,recipient,12,create,1.2399,null,null
16,6,recipient,13,create,1.2321,null,null
16,6,recipient,14,create,1.7752,null,null
16,6,recipient,15,create,1.3224,null,null
16,6,recipient,16,create,0.0,null,null
16,7,recipient,0,create,2.9775,null,null
16,7,sender,1,create,11.5152,15,null
16,7,recipient,2,create,3.1433,null,null
16,7,recipient,3,create,2.4582,null,null
16,7,recipient,4,create,1.8949,null,null
16,7,recipient,5,create,2.4889,null,null
16,7,recipient,6,create,1.8091,null,null
16,7,recipient,7,create,2.3603,null,null
16,7,recipient,8,create,1.2193,null,null
16,7,recipient,9,create,1.2976,null,null
16,7,recipient,10,create,1.3181,null,null
