groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
32,0,recipient,0,create,1.2531,null,null
32,0,recipient,1,create,1.2807,null,null
32,0,recipient,2,create,1.2942,null,null
32,0,recipient,3,create,3.9533,null,null
32,0,recipient,4,create,1.3016,null,null
32,0,recipient,5,create,1.2947,null,null
32,0,recipient,6,create,1.1461,null,null
32,0,recipient,7,create,1.1671,null,null
32,0,recipient,8,create,1.3342,null,null
32,0,recipient,9,create,1.3337,null,null
32,0,recipient,10,create,1.5826,null,null
32,0,recipient,11,create,1.4246,null,null
32,0,recipient,12,create,1.1438,null,null
32,0,recipient,13,create,1.1573,null,null
32,0,recipient,14,create,1.044,null,null
32,0,recipient,15,create,1.2629,null,null
32,0,recipient,16,create,1.8389,null,null
32,0,recipient,17,create,2.1878,null,null
32,0,recipient,18,create,1.8593,null,null
32,0,recipient,19,create,1.6722,null,null
32,0,recipient,20,create,1.6328,null,null
32,0,recipient,21,create,1.447,null,null
32,0,recipient,22,create,1.8836,null,null
32,0,recipient,23,create,1.8055,null,null
32,0,sender,24,create,21.779,31,null
32,0,recipient,25,create,3.6693,null,null
32,0,recipient,26,create,2.6891,null,null
32,0,recipient,27,create,2.68,null,null
32,0,recipient,28,create,2.5772,null,null
32,0,recipient,29,create,2.4787,null,null
32,0,recipient,30,create,2.5453,null,null
32,0,recipient,31,create,2.4602,null,null
32,0,recipient,32,create,0.0,null,null
32,1,recipient,0,create,1.5997,null,null
32,1,recipient,1,create,1.8342,null,null
32,1,recipient,2,create,1.6028,null,null
32,1,recipient,3,create,1.8638,null,null
32,1,recipient,4,create,1.9318,null,null
32,1,recipient,5,create,2.3217,null,null
32,1,recipient,6,create,18.9437,null,null
32,1,recipient,7,create,1.8981,null,null
32,1,recipient,8,create,2.4911,null,null
32,1,recipient,9,create,2.5273,null,null
32,1,recipient,10,create,2.5519,null,null
32,1,recipient,11,create,2.4678,null,null
32,1,recipient,12,create,3.6374,null,null
32,1,sender,13,create,21.6456,31,null
32,1,recipient,14,create,3.0834,null,null
32,1,recipient,15,create,4.3261,null,null
32,1,recipient,16,create,2.0566,null,null
32,1,recipient,17,create,1.3578,null,null
32,1,recipient,18,create,1.3403,null,null
32,1,recipient,19,create,1.0931,null,null
32,1,recipient,20,create,1.1766,null,null
32,1,recipient,21,create,1.3289,null,null
32,1,recipient,22,create,1.3132,null,null
32,1,recipient,23,create,1.2813,null,null
32,1,recipient,24,create,1.3531,null,null
32,1,recipient,25,create,1.2962,null,null
32,1,recipient,26,create,1.1299,null,null
32,1,recipient,27,create,1.0936,null,null
32,1,recipient,28,create,1.2346,null,null
32,1,recipient,29,create,1.4082,null,null
32,1,recipient,30,create,1.3303,null,null
32,1,recipient,31,create,1.2387,null,null
32,1,recipient,32,create,0.0,null,null
32,2,recipient,0,create,2.06,null,null
32,2,recipient,1,create,1.0847,null,null
32,2,recipient,2,create,1.2748,null,null
32,2,recipient,3,create,1.284,null,null
32,2,recipient,4,create,1.2456,null,null
32,2,recipient,5,create,1.3134,null,null
32,2,recipient,6,create,1.1048,null,null
32,2,recipient,7,create,1.1565,null,null
32,2,recipient,8,create,1.3648,null,null
32,2,recipient,9,create,1.3137,null,null
32,2,recipient,10,create,1.2705,null,null
32,2,recipient,11,create,1.2753,null,null
32,2,recipient,12,create,1.3018,null,null
32,2,recipient,13,create,1.0846,null,null
32,2,recipient,14,create,26.8075,null,null
32,2,recipient,15,create,1.259,null,null
32,2,recipient,16,create,2.1312,null,null
32,2,recipient,17,create,1.923,null,null
32,2,recipient,18,create,2.0107,null,null
32,2,recipient,19,create,10.5498,null,null
32,2,recipient,20,create,1.6236,null,null
32,2,recipient,21,create,1.5909,null,null
32,2,recipient,22,create,1.8496,null,null
32,2,recipient,23,create,1.8311,null,null
32,2,recipient,24,create,2.4624,null,null
32,2,recipient,25,create,2.4667,null,null
32,2,recipient,26,create,2.1276,null,null
32,2,recipient,27,create,2.1665,null,null
32,2,recipient,28,create,3.0902,null,null
32,2,recipient,29,create,3.3225,null,null
32,2,recipient,30,create,3.8386,null,null
32,2,sender,31,create,19.255,31,null
32,2,recipient,32,create,0.0,null,null
32,3,recipient,0,create,1.6032,null,null
32,3,recipient,1,create,1.6042,null,null
32,3,recipient,2,create,1.928,null,null
32,3,recipient,3,create,1.7921,null,null
32,3,recipient,4,create,1.8827,null,null
32,3,recipient,5,create,1.8948,null,null
32,3,recipient,6,create,1.8034,null,null
32,3,recipient,7,create,1.9793,null,null
32,3,recipient,8,create,2.1421,null,null
32,3,recipient,9,create,2.5632,null,null
32,3,recipient,10,create,2.4469,null,null
32,3,recipient,11,create,2.499,null,null
32,3,recipient,12,create,3.6607,null,null
32,3,sender,13,create,21.6367,31,null
32,3,recipient,14,create,2.5982,null,null
32,3,recipient,15,create,3.1303,null,null
32,3,recipient,16,create,1.2396,null,null
32,3,recipient,17,create,1.2747,null,null
32,3,recipient,18,create,1.2791,null,null
32,3,recipient,19,create,1.2363,null,null
32,3,recipient,20,create,1.0726,null,null
32,3,recipient,21,create,1.0896,null,null
32,3,recipient,22,create,1.2331,null,null
32,3,recipient,23,create,1.2253,null,null
32,3,recipient,24,create,1.2538,null,null
32,3,recipient,25,create,1.254,null,null
32,3,recipient,26,create,1.2646,null,null
32,3,recipient,27,create,1.0822,null,null
32,3,recipient,28,create,1.1091,null,null
32,3,recipient,29,create,1.2766,null,null
32,3,recipient,30,create,1.211,null,null
32,3,recipient,31,create,1.2455,null,null
32,3,recipient,32,create,0.0,null,null
32,4,recipient,0,create,1.0828,null,null
32,4,recipient,1,create,1.0812,null,null
32,4,recipient,2,create,1.263,null,null
32,4,recipient,3,create,1.259,null,null
32,4,recipient,4,create,1.3263,null,null
32,4,recipient,5,create,1.2597,null,null
32,4,recipient,6,create,1.2608,null,null
32,4,recipient,7,create,1.1059,null,null
32,4,recipient,8,create,1.0789,null,null
32,4,recipient,9,create,1.2717,null,null
32,4,recipient,10,create,1.2584,null,null
32,4,recipient,11,create,1.3475,null,null
32,4,recipient,12,create,52.3719,null,null
32,4,recipient,13,create,1.2511,null,null
32,4,recipient,14,create,1.0841,null,null
32,4,recipient,15,create,1.0914,null,null
32,4,recipient,16,create,1.8943,null,null
32,4,recipient,17,create,1.6198,null,null
32,4,recipient,18,create,2.2244,null,null
32,4,recipient,19,create,1.9528,null,null
32,4,recipient,20,create,1.6233,null,null
32,4,recipient,21,create,1.609,null,null
32,4,recipient,22,create,1.9642,null,null
32,4,recipient,23,create,1.6122,null,null
32,4,recipient,24,create,3.0957,null,null
32,4,recipient,25,create,3.0979,null,null
32,4,recipient,26,create,3.8311,null,null
32,4,sender,27,create,18.6236,31,null
32,4,recipient,28,create,2.1309,null,null
32,4,recipient,29,create,2.6138,null,null
32,4,recipient,30,create,2.6524,null,null
32,4,recipient,31,create,2.5249,null,null
32,4,recipient,32,create,0.0,null,null
32,5,recipient,0,create,1.0884,null,null
32,5,recipient,1,create,1.0852,null,null
32,5,recipient,2,create,1.1151,null,null
32,5,recipient,3,create,1.2385,null,null
32,5,recipient,4,create,1.285,null,null
32,5,recipient,5,create,8.0591,null,null
32,5,recipient,6,create,1.2935,null,null
32,5,recipient,7,create,1.1635,null,null
32,5,recipient,8,create,1.0867,null,null
32,5,recipient,9,create,1.2552,null,null
32,5,recipient,10,create,1.2582,null,null
32,5,recipient,11,create,1.2516,null,null
32,5,recipient,12,create,1.2236,null,null
32,5,recipient,13,create,1.3907,null,null
32,5,recipient,14,create,1.5124,null,null
32,5,recipient,15,create,1.095,null,null
32,5,recipient,16,create,1.8765,null,null
32,5,recipient,17,create,1.5892,null,null
32,5,recipient,18,create,1.8733,null,null
32,5,recipient,19,create,1.8534,null,null
32,5,recipient,20,create,1.8734,null,null
32,5,recipient,21,create,1.5894,null,null
32,5,recipient,22,create,1.6568,null,null
