groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
16,0,recipient,0,add,0.007599,null,15
16,0,recipient,1,add,0.0037,null,15
16,0,recipient,2,add,0.005699,null,15
16,0,recipient,3,add,0.0057,null,15
16,0,recipient,4,add,0.0067,null,15
16,0,recipient,5,add,0.0027,null,15
16,0,recipient,6,add,0.0056,null,15
16,0,recipient,7,add,0.005599,null,15
16,0,recipient,8,add,0.0046,null,15
16,0,recipient,9,add,0.0042,null,15
16,0,sender,10,add,0.442,1,15
16,0,recipient,11,add,0.004299,null,15
16,0,recipient,12,add,0.008201,null,15
16,0,recipient,13,add,0.003501,null,15
16,0,recipient,14,add,0.007401,null,15
16,0,recipient,15,add,1.790801,null,15
16,1,recipient,0,add,0.0104,null,15
16,1,recipient,1,add,0.0123,null,15
16,1,recipient,2,add,0.0092,null,15
16,1,sender,3,add,0.008599,1,15
16,1,recipient,4,add,0.004601,null,15
16,1,recipient,5,add,0.009799,null,15
16,1,recipient,6,add,0.008699,null,15
16,1,recipient,7,add,0.007501,null,15
16,1,recipient,8,add,0.008201,null,15
16,1,recipient,9,add,0.007501,null,15
16,1,recipient,10,add,0.0068,null,15
16,1,recipient,11,add,0.0084,null,15
16,1,recipient,12,add,0.006901,null,15
16,1,recipient,13,add,0.0132,null,15
16,1,recipient,14,add,0.004899,null,15
16,1,recipient,15,add,1.2085,null,15
16,2,recipient,0,add,0.003801,null,15
16,2,recipient,1,add,0.0044,null,15
16,2,recipient,2,add,0.0062,null,15
16,2,recipient,3,add,2.632299,null,15
16,2,recipient,4,add,0.005699,null,15
16,2,recipient,5,add,0.009199,null,15
16,2,recipient,6,add,0.0067,null,15
16,2,recipient,7,add,0.008901,null,15
16,2,recipient,8,add,0.009701,null,15
16,2,recipient,9,add,0.009899,null,15
16,2,sender,10,add,0.470201,1,15
16,2,recipient,11,add,0.0039,null,15
16,2,recipient,12,add,0.002901,null,15
16,2,recipient,13,add,0.0455,null,15
16,2,recipient,14,add,0.005001,null,15
16,2,recipient,15,add,4.6978,null,15
16,3,recipient,0,add,0.0065,null,15
16,3,recipient,1,add,0.004801,null,15
16,3,recipient,2,add,0.0022,null,15
16,3,recipient,3,add,0.0055,null,15
16,3,recipient,4,add,0.003401,null,15
16,3,recipient,5,add,0.0029,null,15
16,3,recipient,6,add,0.007899,null,15
16,3,recipient,7,add,0.003101,null,15
16,3,recipient,8,add,0.0033,null,15
16,3,sender,9,add,0.4889,1,15
16,3,recipient,10,add,0.0033,null,15
16,3,recipient,11,add,0.0027,null,15
16,3,recipient,12,add,0.0024,null,15
16,3,recipient,13,add,0.0026,null,15
16,3,recipient,14,add,0.008301,null,15
16,3,recipient,15,add,1.3713,null,15
16,4,recipient,0,add,0.004401,null,15
16,4,recipient,1,add,0.035099,null,15
16,4,recipient,2,add,0.0036,null,15
16,4,recipient,3,add,0.0016,null,15
16,4,sender,4,add,0.0056,1,15
16,4,recipient,5,add,0.003699,null,15
16,4,recipient,6,add,0.003199,null,15
16,4,recipient,7,add,0.0787,null,15
16,4,recipient,8,add,0.0042,null,15
16,4,recipient,9,add,0.0068,null,15
16,4,recipient,10,add,0.021501,null,15
16,4,recipient,11,add,0.0025,null,15
16,4,recipient,12,add,0.0034,null,15
16,4,recipient,13,add,0.003199,null,15
16,4,recipient,14,add,0.0036,null,15
16,4,recipient,15,add,1.1564,null,15
16,5,recipient,0,add,0.0037,null,15
16,5,recipient,1,add,0.004799,null,15
16,5,recipient,2,add,0.001799,null,15
16,5,recipient,3,add,0.007401,null,15
16,5,recipient,4,add,0.0068,null,15
16,5,sender,5,add,0.555699,1,15
16,5,recipient,6,add,0.0037,null,15
16,5,recipient,7,add,0.0033,null,15
16,5,recipient,8,add,0.003199,null,15
16,5,recipient,9,add,0.0034,null,15
16,5,recipient,10,add,0.0039,null,15
16,5,recipient,11,add,0.006799,null,15
16,5,recipient,12,add,0.0044,null,15
16,5,recipient,13,add,0.0039,null,15
16,5,recipient,14,add,0.0032,null,15
16,5,recipient,15,add,1.738101,null,15
16,6,recipient,0,add,0.005,null,15
16,6,recipient,1,add,0.004599,null,15
16,6,sender,2,add,0.4638,1,15
16,6,recipient,3,add,0.0047,null,15
16,6,recipient,4,add,0.003801,null,15
16,6,recipient,5,add,0.004499,null,15
16,6,recipient,6,add,0.0042,null,15
16,6,recipient,7,add,0.0073,null,15
16,6,recipient,8,add,0.002899,null,15
16,6,recipient,9,add,0.0062,null,15
16,6,recipient,10,add,0.003299,null,15
16,6,recipient,11,add,0.0036,null,15
16,6,recipient,12,add,0.0072,null,15
16,6,recipient,13,add,0.005601,null,15
16,6,recipient,14,add,0.004201,null,15
16,6,recipient,15,add,1.2829,null,15
16,7,recipient,0,add,0.003699,null,15
16,7,recipient,1,add,0.009301,null,15
16,7,sender,2,add,0.003499,1,15
16,7,recipient,3,add,0.003601,null,15
16,7,recipient,4,add,0.003199,null,15
16,7,recipient,5,add,0.0046,null,15
16,7,recipient,6,add,0.0028,null,15
16,7,recipient,7,add,0.0024,null,15
16,7,recipient,8,add,0.002999,null,15
16,7,recipient,9,add,0.002001,null,15
16,7,recipient,10,add,0.003201,null,15
16,7,recipient,11,add,0.0031,null,15
16,7,recipient,12,add,0.0031,null,15
16,7,recipient,13,add,0.003301,null,15
16,7,recipient,14,add,0.0039,null,15
16,7,recipient,15,add,1.2645,null,15
16,8,recipient,0,add,0.0033,null,15
16,8,recipient,1,add,0.0023,null,15
16,8,recipient,2,add,0.003099,null,15
16,8,recipient,3,add,0.003201,null,15
16,8,recipient,4,add,0.003801,null,15
16,8,recipient,5,add,0.0049,null,15
16,8,recipient,6,add,0.0026,null,15
16,8,recipient,7,add,0.0036,null,15
16,8,recipient,8,add,0.0039,null,15
16,8,recipient,9,add,0.003001,null,15
16,8,recipient,10,add,0.002899,null,15
16,8,recipient,11,add,0.002001,null,15
16,8,recipient,12,add,0.0019,null,15
16,8,recipient,13,add,0.003701,null,15
16,8,sender,14,add,0.2161,1,15
16,8,recipient,15,add,1.338401,null,15
16,9,recipient,0,add,0.006199,null,15
16,9,recipient,1,add,0.003499,null,15
16,9,recipient,2,add,0.0037,null,15
16,9,recipient,3,add,0.005199,null,15
16,9,sender,4,add,0.459899,1,15
16,9,recipient,5,add,0.0037,null,15
16,9,recipient,6,add,0.002401,null,15
16,9,recipient,7,add,0.003699,null,15
16,9,recipient,8,add,0.003499,null,15
16,9,recipient,9,add,0.0039,null,15
16,9,recipient,10,add,0.0042,null,15
16,9,recipient,11,add,0.0025,null,15
16,9,recipient,12,add,0.0035,null,15
16,9,recipient,13,add,0.0034,null,15
16,9,recipient,14,add,0.0069,null,15
16,9,recipient,15,add,1.271901,null,15
16,10,recipient,0,add,0.003199,null,15
16,10,recipient,1,add,0.003401,null,15
16,10,recipient,2,add,0.0023,null,15
16,10,recipient,3,add,0.0056,null,15
16,10,recipient,4,add,0.004499,null,15
16,10,recipient,5,add,0.003299,null,15
16,10,sender,6,add,0.0034,1,15
16,10,recipient,7,add,0.0011,null,15
16,10,recipient,8,add,0.0033,null,15
16,10,recipient,9,add,0.005001,null,15
16,10,recipient,10,add,0.005,null,15
16,10,recipient,11,add,0.0039,null,15
16,10,recipient,12,add,0.003501,null,15
16,10,recipient,13,add,0.003699,null,15
16,10,recipient,14,add,0.0032,null,15
16,10,recipient,15,add,1.628,null,15
16,11,recipient,0,add,0.0036,null,15
16,11,recipient,1,add,0.0027,null,15
16,11,recipient,2,add,0.0031,null,15
16,11,recipient,3,add,0.006999,null,15
16,11,recipient,4,add,0.0045,null,15
16,11,recipient,5,add,0.0074,null,15
16,11,recipient,6,add,0.006599,null,15
16,11,recipient,7,add,0.005599,null,15
16,11,recipient,8,add,0.004699,null,15
16,11,recipient,9,add,0.012999,null,15
16,11,recipient,10,add,0.0052,null,15
16,11,sender,11,add,0.5791,1,15
16,11,recipient,12,add,0.004299,null,15
16,11,recipient,13,add,0.003201,null,15
16,11,recipient,14,add,0.0037,null,15
16,11,recipient,15,add,1.319701,null,15
16,12,recipient,0,add,0.006,null,15
16,12,recipient,1,add,0.003199,null,15
16,12,recipient,2,add,0.0037,null,15
16,12,recipient,3,add,0.005799,null,15
16,12,recipient,4,add,0.003299,null,15
16,12,sender,5,add,0.574,1,15
16,12,recipient,6,add,0.0027,null,15
16,12,recipient,7,add,0.0032,null,15
16,12,recipient,8,add,0.002,null,15
16,12,recipient,9,add,0.0032,null,15
16,12,recipient,10,add,0.0027,null,15
16,12,recipient,11,add,0.003701,null,15
16,12,recipient,12,add,0.0042,null,15
16,12,recipient,13,add,0.0029,null,15
16,12,recipient,14,add,0.006001,null,15
16,12,recipient,15,add,1.1477,null,15
16,13,recipient,0,add,0.004199,null,15
16,13,recipient,1,add,0.003399,null,15
16,13,sender,2,add,0.0061,1,15
16,13,recipient,3,add,0.0035,null,15
16,13,recipient,4,add,0.003,null,15
16,13,recipient,5,add,0.003301,null,15
16,13,recipient,6,add,0.0066,null,15
16,13,recipient,7,add,0.0039,null,15
16,13,recipient,8,add,0.0035,null,15
16,13,recipient,9,add,0.0039,null,15
16,13,recipient,10,add,0.0024,null,15
16,13,recipient,11,add,0.0071,null,15
16,13,recipient,12,add,0.0036,null,15
16,13,recipient,13,add,0.0565,null,15
16,13,recipient,14,add,0.0044,null,15
16,13,recipient,15,add,1.291901,null,15
16,14,sender,0,add,0.4836,1,15
16,14,recipient,1,add,0.0026,null,15
16,14,recipient,2,add,0.004,null,15
16,14,recipient,3,add,0.003399,null,15
16,14,recipient,4,add,0.003901,null,15
16,14,recipient,5,add,0.0031,null,15
16,14,recipient,6,add,0.003201,null,15
16,14,recipient,7,add,0.006999,null,15
16,14,recipient,8,add,0.0042,null,15
16,14,recipient,9,add,0.003599,null,15
16,14,recipient,10,add,0.003701,null,15
16,14,recipient,11,add,0.004801,null,15
16,14,recipient,12,add,0.0019,null,15
16,14,recipient,13,add,0.0032,null,15
16,14,recipient,14,add,0.003899,null,15
16,14,recipient,15,add,1.1631,null,15
16,15,recipient,0,add,0.0065,null,15
16,15,recipient,1,add,0.005099,null,15
16,15,recipient,2,add,0.002801,null,15
16,15,recipient,3,add,0.004,null,15
16,15,recipient,4,add,0.004299,null,15
16,15,recipient,5,add,0.004101,null,15
16,15,recipient,6,add,0.0036,null,15
16,15,recipient,7,add,0.008899,null,15
16,15,sender,8,add,0.8472,1,15
16,15,recipient,9,add,0.0043,null,15
16,15,recipient,10,add,0.0054,null,15
16,15,recipient,11,add,0.0044,null,15
16,15,recipient,12,add,0.0061,null,15
16,15,recipient,13,add,0.004401,null,15
16,15,recipient,14,add,0.003299,null,15
16,15,recipient,15,add,1.6884,null,15
16,16,recipient,0,add,0.006099,null,15
16,16,recipient,1,add,0.0088,null,15
16,16,recipient,2,add,0.0055,null,15
16,16,recipient,3,add,0.003601,null,15
16,16,sender,4,add,0.0038,1,15
16,16,recipient,5,add,0.005901,null,15
16,16,recipient,6,add,0.003,null,15
16,16,recipient,7,add,0.003899,null,15
16,16,recipient,8,add,0.0051,null,15
16,16,recipient,9,add,0.004301,null,15
16,16,recipient,10,add,0.0056,null,15
16,16,recipient,11,add,0.004101,null,15
16,16,recipient,12,add,0.008901,null,15
16,16,recipient,13,add,0.0036,null,15
16,16,recipient,14,add,0.005399,null,15
16,16,recipient,15,add,1.8502,null,15
16,17,recipient,0,add,0.0037,null,15
16,17,recipient,1,add,0.0028,null,15
16,17,recipient,2,add,0.004301,null,15
16,17,recipient,3,add,0.004301,null,15
16,17,recipient,4,add,0.0078,null,15
16,17,sender,5,add,0.546499,1,15
16,17,recipient,6,add,0.0057,null,15
16,17,recipient,7,add,0.0031,null,15
16,17,recipient,8,add,0.003501,null,15
16,17,recipient,9,add,0.0052,null,15
16,17,recipient,10,add,0.004801,null,15
16,17,recipient,11,add,0.0033,null,15
16,17,recipient,12,add,0.0042,null,15
16,17,recipient,13,add,0.0031,null,15
16,17,recipient,14,add,0.004599,null,15
16,17,recipient,15,add,1.735999,null,15
16,18,recipient,0,add,0.0078,null,15
16,18,recipient,1,add,0.003201,null,15
16,18,recipient,2,add,0.005299,null,15
16,18,recipient,3,add,0.004001,null,15
16,18,recipient,4,add,0.005701,null,15
16,18,recipient,5,add,0.0038,null,15
16,18,recipient,6,add,0.004801,null,15
16,18,recipient,7,add,0.003099,null,15
16,18,recipient,8,add,0.003799,null,15
16,18,recipient,9,add,0.0025,null,15
16,18,recipient,10,add,0.0031,null,15
16,18,recipient,11,add,0.0047,null,15
16,18,recipient,12,add,0.0079,null,15
16,18,recipient,13,add,0.003701,null,15
16,18,sender,14,add,0.432401,1,15
16,18,recipient,15,add,1.1388,null,15
16,19,recipient,0,add,0.005999,null,15
16,19,sender,1,add,0.004801,1,15
16,19,recipient,2,add,0.004701,null,15
16,19,recipient,3,add,0.0065,null,15
16,19,recipient,4,add,0.0073,null,15
16,19,recipient,5,add,0.005599,null,15
16,19,recipient,6,add,0.003699,null,15
16,19,recipient,7,add,0.003599,null,15
16,19,recipient,8,add,0.003199,null,15
16,19,recipient,9,add,0.0027,null,15
16,19,recipient,10,add,0.0038,null,15
16,19,recipient,11,add,0.0054,null,15
16,19,recipient,12,add,0.0051,null,15
16,19,recipient,13,add,0.0037,null,15
16,19,recipient,14,add,0.003399,null,15
16,19,recipient,15,add,1.132,null,15
16,20,recipient,0,add,0.0056,null,15
16,20,recipient,1,add,0.0038,null,15
16,20,recipient,2,add,0.003,null,15
16,20,recipient,3,add,0.0032,null,15
16,20,recipient,4,add,0.0026,null,15
16,20,recipient,5,add,0.0027,null,15
16,20,recipient,6,add,0.0027,null,15
16,20,recipient,7,add,0.005,null,15
16,20,recipient,8,add,0.0022,null,15
16,20,recipient,9,add,0.003501,null,15
16,20,recipient,10,add,0.003501,null,15
16,20,recipient,11,add,0.003901,null,15
16,20,recipient,12,add,0.0027,null,15
16,20,sender,13,add,0.192001,1,15
16,20,recipient,14,add,0.002899,null,15
16,20,recipient,15,add,1.3001,null,15
16,21,recipient,0,add,0.004701,null,15
16,21,recipient,1,add,0.0045,null,15
16,21,recipient,2,add,0.0044,null,15
16,21,recipient,3,add,0.004201,null,15
16,21,recipient,4,add,0.006299,null,15
16,21,recipient,5,add,0.018,null,15
16,21,recipient,6,add,0.0076,null,15
