groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
32,0,recipient,0,add,0.5672,null,32
32,0,recipient,1,add,0.5322,null,32
32,0,recipient,2,add,3.9134,null,32
32,0,recipient,3,add,0.6409,null,32
32,0,recipient,4,add,0.6227,null,32
32,0,recipient,5,add,0.627,null,32
32,0,recipient,6,add,0.5503,null,32
32,0,recipient,7,add,0.5539,null,32
32,0,recipient,8,add,0.6997,null,32
32,0,recipient,9,add,0.6397,null,32
32,0,recipient,10,add,0.6393,null,32
32,0,recipient,11,add,0.6936,null,32
32,0,recipient,12,add,0.5504,null,32
32,0,recipient,13,add,0.5953,null,32
32,0,recipient,14,add,0.8011,null,32
32,0,recipient,15,add,0.7191,null,32
32,0,recipient,16,add,0.6297,null,32
32,0,recipient,17,add,0.6393,null,32
32,0,recipient,18,add,0.5378,null,32
32,0,recipient,19,add,0.5665,null,32
32,0,recipient,20,add,0.8389,null,32
32,0,recipient,21,add,0.6431,null,32
32,0,recipient,22,add,0.6449,null,32
32,0,recipient,23,add,0.6223,null,32
32,0,sender,24,add,0.6693,1,32
32,0,recipient,25,add,0.5471,null,32
32,0,recipient,26,add,0.5599,null,32
32,0,recipient,27,add,0.5634,null,32
32,0,recipient,28,add,0.6735,null,32
32,0,recipient,29,add,0.6522,null,32
32,0,recipient,30,add,0.6467,null,32
32,0,recipient,31,add,0.6731,null,32
32,0,recipient,32,add,1.718,null,32
32,1,recipient,0,add,0.5462,null,32
32,1,recipient,1,add,0.6789,null,32
32,1,recipient,2,add,0.6323,null,32
32,1,recipient,3,add,0.6433,null,32
32,1,recipient,4,add,0.8062,null,32
32,1,recipient,5,add,0.5463,null,32
32,1,recipient,6,add,0.5514,null,32
32,1,recipient,7,add,0.5445,null,32
32,1,recipient,8,add,0.793,null,32
32,1,recipient,9,add,0.546,null,32
32,1,recipient,10,add,0.6791,null,32
32,1,recipient,11,add,0.6408,null,32
32,1,recipient,12,add,0.6367,null,32
32,1,sender,13,add,0.5424,1,32
32,1,recipient,14,add,0.5441,null,32
32,1,recipient,15,add,0.6359,null,32
32,1,recipient,16,add,0.6293,null,32
32,1,recipient,17,add,1.165,null,32
32,1,recipient,18,add,1.4079,null,32
32,1,recipient,19,add,0.5381,null,32
32,1,recipient,20,add,0.5457,null,32
32,1,recipient,21,add,0.6389,null,32
32,1,recipient,22,add,0.654,null,32
32,1,recipient,23,add,0.6209,null,32
32,1,recipient,24,add,0.6377,null,32
32,1,recipient,25,add,0.6292,null,32
32,1,recipient,26,add,0.5448,null,32
32,1,recipient,27,add,0.5432,null,32
32,1,recipient,28,add,0.6673,null,32
32,1,recipient,29,add,0.6299,null,32
32,1,recipient,30,add,0.6996,null,32
32,1,recipient,31,add,0.6353,null,32
32,1,recipient,32,add,1.9423,null,32
32,2,recipient,0,add,0.5345,null,32
32,2,recipient,1,add,0.535,null,32
32,2,recipient,2,add,0.6362,null,32
32,2,recipient,3,add,0.6481,null,32
32,2,recipient,4,add,0.621,null,32
32,2,recipient,5,add,0.6468,null,32
32,2,recipient,6,add,0.5288,null,32
32,2,recipient,7,add,0.5388,null,32
32,2,recipient,8,add,0.6688,null,32
32,2,recipient,9,add,0.7107,null,32
32,2,recipient,10,add,0.6754,null,32
32,2,recipient,11,add,0.6832,null,32
32,2,recipient,12,add,0.6484,null,32
32,2,recipient,13,add,0.5569,null,32
32,2,recipient,14,add,0.5212,null,32
32,2,recipient,15,add,0.653,null,32
32,2,recipient,16,add,0.7279,null,32
32,2,recipient,17,add,0.6614,null,32
32,2,recipient,18,add,0.537,null,32
32,2,recipient,19,add,0.5406,null,32
32,2,recipient,20,add,0.534,null,32
32,2,recipient,21,add,0.5336,null,32
32,2,recipient,22,add,0.6276,null,32
32,2,recipient,23,add,0.6553,null,32
32,2,recipient,24,add,0.638,null,32
32,2,recipient,25,add,0.5322,null,32
32,2,recipient,26,add,0.5218,null,32
32,2,recipient,27,add,0.5352,null,32
32,2,recipient,28,add,0.6219,null,32
32,2,recipient,29,add,0.6641,null,32
32,2,recipient,30,add,0.6408,null,32
32,2,sender,31,add,0.6356,1,32
32,2,recipient,32,add,1.6178,null,32
32,3,recipient,0,add,0.5438,null,32
32,3,recipient,1,add,0.5471,null,32
32,3,recipient,2,add,0.6706,null,32
32,3,recipient,3,add,0.6702,null,32
32,3,recipient,4,add,0.6253,null,32
32,3,recipient,5,add,0.7199,null,32
32,3,recipient,6,add,0.5402,null,32
32,3,recipient,7,add,0.5385,null,32
32,3,recipient,8,add,0.5433,null,32
32,3,recipient,9,add,0.7627,null,32
32,3,recipient,10,add,0.6832,null,32
32,3,recipient,11,add,0.6651,null,32
32,3,recipient,12,add,0.5264,null,32
32,3,sender,13,add,0.5341,1,32
32,3,recipient,14,add,0.5362,null,32
32,3,recipient,15,add,0.677,null,32
32,3,recipient,16,add,0.6282,null,32
32,3,recipient,17,add,0.6651,null,32
32,3,recipient,18,add,0.692,null,32
32,3,recipient,19,add,0.6768,null,32
32,3,recipient,20,add,0.5418,null,32
32,3,recipient,21,add,0.5616,null,32
32,3,recipient,22,add,0.7161,null,32
32,3,recipient,23,add,0.6239,null,32
32,3,recipient,24,add,0.6343,null,32
32,3,recipient,25,add,0.6857,null,32
32,3,recipient,26,add,0.6303,null,32
32,3,recipient,27,add,0.5894,null,32
32,3,recipient,28,add,0.5398,null,32
32,3,recipient,29,add,0.6655,null,32
32,3,recipient,30,add,0.6324,null,32
32,3,recipient,31,add,0.8406,null,32
32,3,recipient,32,add,1.9094,null,32
32,4,recipient,0,add,0.5342,null,32
32,4,recipient,1,add,0.5535,null,32
32,4,recipient,2,add,0.6221,null,32
32,4,recipient,3,add,0.646,null,32
32,4,recipient,4,add,0.6864,null,32
32,4,recipient,5,add,0.6462,null,32
32,4,recipient,6,add,0.5437,null,32
32,4,recipient,7,add,0.5448,null,32
32,4,recipient,8,add,0.852,null,32
32,4,recipient,9,add,0.6864,null,32
32,4,recipient,10,add,0.6414,null,32
32,4,recipient,11,add,0.4968,null,32
32,4,recipient,12,add,0.6358,null,32
32,4,recipient,13,add,0.6919,null,32
32,4,recipient,14,add,0.5439,null,32
32,4,recipient,15,add,0.5323,null,32
32,4,recipient,16,add,0.6111,null,32
32,4,recipient,17,add,0.6662,null,32
32,4,recipient,18,add,0.6928,null,32
32,4,recipient,19,add,0.7509,null,32
32,4,recipient,20,add,0.5501,null,32
32,4,recipient,21,add,0.5366,null,32
32,4,recipient,22,add,0.6644,null,32
32,4,recipient,23,add,0.6615,null,32
32,4,recipient,24,add,0.6229,null,32
32,4,recipient,25,add,0.6466,null,32
32,4,recipient,26,add,0.6283,null,32
32,4,sender,27,add,0.5334,1,32
32,4,recipient,28,add,0.5383,null,32
32,4,recipient,29,add,0.6684,null,32
32,4,recipient,30,add,0.6752,null,32
32,4,recipient,31,add,0.6342,null,32
32,4,recipient,32,add,1.9378,null,32
32,5,recipient,0,add,0.7171,null,32
32,5,recipient,1,add,0.5342,null,32
32,5,recipient,2,add,0.5397,null,32
32,5,recipient,3,add,0.7959,null,32
32,5,recipient,4,add,0.5348,null,32
32,5,recipient,5,add,0.6715,null,32
32,5,recipient,6,add,0.549,null,32
32,5,recipient,7,add,0.5381,null,32
32,5,recipient,8,add,0.5383,null,32
32,5,recipient,9,add,0.6388,null,32
32,5,recipient,10,add,0.6524,null,32
32,5,recipient,11,add,0.6281,null,32
32,5,recipient,12,add,0.7254,null,32
32,5,recipient,13,add,0.533,null,32
32,5,recipient,14,add,0.5388,null,32
32,5,recipient,15,add,0.527,null,32
32,5,recipient,16,add,0.643,null,32
32,5,recipient,17,add,0.9509,null,32
32,5,recipient,18,add,0.628,null,32
32,5,recipient,19,add,0.6666,null,32
32,5,recipient,20,add,0.6322,null,32
32,5,recipient,21,add,0.5421,null,32
32,5,recipient,22,add,0.5391,null,32
32,5,recipient,23,add,0.6798,null,32
32,5,recipient,24,add,0.7096,null,32
32,5,recipient,25,add,0.6367,null,32
32,5,sender,26,add,0.6504,1,32
32,5,recipient,27,add,0.5494,null,32
