groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
8,0,recipient,0,create,1.3153,null,null
8,0,recipient,1,create,1.1071,null,null
8,0,recipient,2,create,1.0809,null,null
8,0,recipient,3,create,1.2529,null,null
8,0,recipient,4,create,2.4027,null,null
8,0,sender,5,create,5.8066,7,null
8,0,recipient,6,create,1.5943,null,null
8,0,recipient,7,create,1.8576,null,null
8,0,recipient,8,create,0.0,null,null
8,1,recipient,0,create,1.0589,null,null
8,1,recipient,1,create,1.3498,null,null
8,1,recipient,2,create,1.0913,null,null
8,1,recipient,3,create,1.2669,null,null
8,1,recipient,4,create,1.6235,null,null
8,1,recipient,5,create,1.6329,null,null
8,1,sender,6,create,6.6854,7,null
8,1,recipient,7,create,2.1541,null,null
8,1,recipient,8,create,0.0,null,null
8,2,recipient,0,create,1.0962,null,null
8,2,recipient,1,create,1.0897,null,null
8,2,recipient,2,create,1.0859,null,null
8,2,recipient,3,create,1.2645,null,null
8,2,recipient,4,create,2.1231,null,null
8,2,sender,5,create,6.754,7,null
8,2,recipient,6,create,1.2074,null,null
8,2,recipient,7,create,2.7112,null,null
8,2,recipient,8,create,0.0,null,null
8,3,recipient,0,create,1.2763,null,null
8,3,recipient,1,create,1.0689,null,null
8,3,recipient,2,create,1.1094,null,null
8,3,recipient,3,create,1.2945,null,null
8,3,recipient,4,create,1.6406,null,null
8,3,recipient,5,create,1.8733,null,null
8,3,sender,6,create,5.7694,7,null
8,3,recipient,7,create,2.1173,null,null
8,3,recipient,8,create,0.0,null,null
8,4,recipient,0,create,1.1695,null,null
8,4,recipient,1,create,1.3437,null,null
8,4,recipient,2,create,1.2404,null,null
8,4,recipient,3,create,1.2605,null,null
8,4,recipient,4,create,2.1328,null,null
8,4,sender,5,create,6.8197,7,null
8,4,recipient,6,create,1.855,null,null
8,4,recipient,7,create,1.5922,null,null
8,4,recipient,8,create,0.0,null,null
8,5,recipient,0,create,1.0618,null,null
8,5,recipient,1,create,1.0265,null,null
8,5,recipient,2,create,1.1391,null,null
8,5,recipient,3,create,0.7983,null,null
8,5,recipient,4,create,1.5376,null,null
